Change Component Footprint: Designator=L1 Old Footprint=WE-LQS 4018 New Footprint=WE-HCI_1365
Change Component Comment : Designator=L1 Old Comment=74404042330 New Comment=7443551130
Change Managed Component Library Link : Designator=L1 Old VaultGUID=09F71A86-4FEC-4953-AEDF-3D60F6AB22C6 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=E7529027-B940-4DB1-9A65-5210CDD9B423 New ItemGUID=BFE7B7F0-72D0-46E8-90E6-6C93F34D1CA6 Old RevisionGUID=C2338A05-3128-445B-B259-008841B722DB New RevisionGUID=3253751D-78A0-42A5-AAFF-57F8B5331459
Change component parameters: Designator = "L1" ("L1"); Footprint = "WE-LQS 4018"; UniqueID = "\HIALPTYT" ("\HIALPTYT")
Change component parameters (AddParameter): Name = "Ambient Temperature Range High"; Value = "105°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Ambient Temperature Range Low"; Value = "-40°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Case/Package"; Value = "Nonstandard"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Composition"; Value = "Wirewound"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Current Rating"; Value = "25A"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "DC Resistance (DCR)"; Value = "1.8mO"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Height"; Value = "6.2mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Height - Seated (Max)"; Value = "6.5024mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Inductance"; Value = "1.3µH"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Inductance Tolerance"; Value = "20%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Length"; Value = "13.2mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max DC Current"; Value = "25A"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Operating Temperature"; Value = "155°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Min Operating Temperature"; Value = "-40°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mount"; Value = "Surface Mount"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of Pins"; Value = "2"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "REACH SVHC"; Value = "Unknown"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Resistance"; Value = "1.8mO"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RMS Current (Irms)"; Value = "25A"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RoHS"; Value = "Compliant"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Saturation Current"; Value = "11A"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Self Resonant Frequency"; Value = "59MHz"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Series Resistance"; Value = "1.8mO"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Shielding"; Value = "Shielded"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Termination"; Value = "SMD/SMT"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Test Frequency"; Value = "100kHz"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "20%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Width"; Value = "12.8mm"; VariantName = "[No Variations]"
